ResourceName;Label;Leader;Parent;Child
Segment Gaszähler;A00;1;A00;A01
Rohzählerfertigung;A01;1;A01;A0101
Monti 1;A0101;1;A0101;A010101
Monti 1 - Heliumprüfung;A010101;0;A0101;A010101
OFI1;A010102;0;A0101;A010102
Stutzenbördelanlage;A010103;0;A0101;A010103
Zähler montieren;A010104;0;A0101;A010104
Zähler verschließen;A010105;0;A0101;A010105
Monti 2;A0102;1;A0102;A010201
OFI2;A010201;0;A0102;A010201
Stutzenbördeln;A010202;0;A0102;A010202
Universalumsetzer;A010203;0;A0102;A010203
Ventilmontage;A010204;0;A0102;A010204
Zähler montieren;A010205;0;A0102;A010205
Zähler verschließen;A010206;0;A0102;A010206
Monti 2 - Heliumprüfung;A010207;0;A0102;A010207
Atexprüfung;A010208;0;A0102;A010208
Manuelle Fertigung BK4;A0103;1;A0103;A010301
Heliumprüfung Kammer 8;A010301;0;A0103;A010301
Ofi Manuell;A010302;0;A0103;A010302
Falzherstellung;A0104;1;A0104;A010402
Falzi 2;A010402;0;A0104;A010402
Falzi 3;A010403;0;A0104;A010403
Gewerbegaszähler;A0105;1;A0105;A010501
Gewerbegaszähler OFI;A010501;0;A0105;A010501
Gewerbegaszähler Zähler;A010502;0;A0105;A010502
Platinenfertigung 1;A02;1;A02;A03
Gehäusefertigung;A03;1;A03;A0301
Gehäuse herstellen und beschichten;A0301;1;A0301;A030101
Pressenlinie 1;A030101;0;A0301;A030101
Pressenlinie 2;A030102;0;A0301;A030102
Prüfstelle;A06;1;A06;A0601
Eichanlage Nr. 181/182;A0601;1;A0601;A060101
Eichstrecke Nr. 181;A060101;0;A0601;A060101
Eichstrecke Nr. 182;A060102;0;A0601;A060102
Transportsystem Stein EI;A060103;0;A0601;A060103
Eichanlage Nr. 171/172;A0602;1;A0602;A060201
Eichstrecke Nr. 171;A060201;0;A0602;A060201
Eichstrecke Nr. 172;A060202;0;A0602;A060202
Pruefstelle - Kamerasystem;A0603;1;A0603;A0604
Eichanlage Nr. 161/162;A0604;1;A0604;A060401
Eichstrecke Nr. 161;A060401;0;A0604;A060401
Eichstrecke Nr. 162;A060402;0;A0604;A060402
Eichanlage Nr. 121/122;A0605;1;A0605;A060501
Eichstrecke Nr. 121;A060501;0;A0605;A060501
Eichstrecke Nr. 122;A060502;0;A0605;A060502
Eichanlage Nr. 91/92;A0606;1;A0606;A060601
Eichstrecke Nr. 91;A060601;0;A0606;A060601
Eichstrecke Nr. 92;A060602;0;A0606;A060602
Messwerksfertigung;A09;1;A09;A0901
MEFI 3;A0901;1;A0901;A090101
MEFI3-Karree 1;A090101;1;A090101;A09010101
Modul 1.01 Mittelblock zuführen;A09010101;0;A090101;A09010101
Modul 1.02 Membranhebel;A09010102;0;A090101;A09010102
Modul 1.03 Stangen;A09010103;0;A090101;A09010103
Modul 1.04 Mittelzapfen;A09010104;0;A090101;A09010104
Modul 1.05 Außenschale vorne falzen;A09010105;0;A090101;A09010105
Modul 1.06 Außenschalen zuführen;A09010106;0;A090101;A09010106
Modul 1.07 Außenschale hinten falzen;A09010107;0;A090101;A09010107
Modul 1.08 Messwerk teilkompl. verteilen;A09010108;0;A090101;A09010108
MEFI3-Karree 2;A090102;1;A090102;A09010201
Modul 2.01 Messwerk teilkompl. zuführen;A09010201;0;A090102;A09010201
Modul 2.02 Messwerk dosieren;A09010202;0;A090102;A09010202
Modul 2.03 Roste montieren;A09010203;0;A090102;A09010203
Modul 2.04/2.05 Schieber Steuerhebel;A09010204;0;A090102;A09010204
Modul 2.06 Kurbel;A09010206;0;A090102;A09010206
Modul 2.07 Stangenarme;A09010207;0;A090102;A09010207
Modul 2.08 Dichtheitsprüfung;A09010208;0;A090102;A09010208
Modul 2.09 Schubstangen;A09010209;0;A090102;A09010209
Modul 2.11 Funktionsprüfung;A09010211;0;A090102;A09010211
Modul 2.12 man. Zeigerverstellung;A09010212;0;A090102;A09010212
Mefi3 - Modul 2.14 Messwerk verteilen;A09010214;0;A090102;A09010214
MEFI 2;A0902;1;A0902;A090201
MEFI2-Karree 1;A090201;0;A0902;A090201
MEFI2-Karree 2;A090202;0;A0902;A090202
Membranenerstellung;A0903;1;A0903;A090301
MeFI3 - Membranerstellung;A090301;1;A090301;A09030101
Modul 1.21 Membran schweißen;A09030101;0;A090301;A09030101
Modul 1.22 Wellenmembran schweißen Hand;A09030102;0;A090301;A09030102
manuelle TC Montage 1&2;A0904;1;A0904;A090401
TC Montage 1;A090401;0;A0904;A090401
TC Montage 2;A090402;0;A0904;A090402
Gehäusefertigung 2;A11;1;A11;A12
EMI Vormontage;A12;1;A12;A1201
EMI 4.1 Vormontage;A1201;1;A1201;A120101
EMI 4.1 Vormontage Parametrieren 1;A120101;0;A1201;A120101
EMI 4.1 Vormontage Parametrieren 2;A120102;0;A1201;A120102
EMI 4.1 Vormontage Dichtheitsprüfung;A120103;0;A1201;A120103
EMI 4.1 Vormontage Parametrieren 3;A120104;0;A1201;A120104
EMI 4.1 Vormontage Dichtheitsprüfung 2;A120105;0;A1201;A120105
EMI 4.1 Flashen;A1202;1;A1202;A120201
Flashen HAP 4;A120201;0;A1202;A120201
Flashen HAP 5;A120202;0;A1202;A120202
Flashen HAP 6;A120203;0;A1202;A120203
EMI 6.1 Endmontage;A1203;1;A1203;A1204
EMI 6.2 Endmontage;A1204;1;A1204;A1204
EMI Endmontage;A13;1;A13;A1301
EMI 4.2 Endmontage;A1301;1;A1301;A130101
EMI 4.2 Secure Cell;A130101;0;A1301;A130101
EMI 5.2 Endmontage;A1302;1;A1302;A130201
EMI 5.2 Secure Cell;A130201;0;A1302;A130201
Verpackung;A14;1;A14;A1401
Bandeinlauf;A1401;1;A1401;A1402
Verpackungsvorbereitung;A1402;1;A1402;A1403
Gaszähler verpacken;A1403;1;A1403;A1404
Verschließen und Abstapeln;A1404;1;A1404;A1405
Abstapelbänder;A1405;1;A1405;A1405
Gaszähler Endmontage;A16;1;A16;A18
Manuelle Fertigung BK4;A18;1;A18;A1802
Heliumprüfung;A1802;1;A1802;A1802
Gaszählerentwicklung;A20;1;A20;A2001
Systemtest;A2001;1;A2001;A2001
Nacharbeit & Reparatur;A21;1;A21;A2101
Smart Meter Demontage;A2101;1;A2101;A2101
