"OPERATION";"Unique concatenate(RESRCE)";"Unique count(RESRCE)";"Unique count(WORK_CENTER)";"Unique concatenate(WORK_CENTER)";"Unique concatenate(ROUTER)";"Unique count(ROUTER)";"Mean(ELAPSED_TIME)";"Max(ELAPSED_TIME)";"Min(ELAPSED_TIME)";"Mean(ELAPSED_QUEUE_TIME)";"Max(ELAPSED_QUEUE_TIME)";"Min(ELAPSED_QUEUE_TIME)";"MEANELAPSED_TIME_SECS";"MAXELAPSED_TIME_SECS";"MINELAPSED_TIME_SECS";"MEANQUEUE_TIME_SECS";"MAXQUEUE_TIME_SECS";"MINQUEUE_TIME_SECS"
"A000002";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;2999.1352375101633;16079;1770;149.26289926289695;10000;0;2.999;16.079;1.77;0.149;10;0
"A000004";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;2899.2268371696514;18411;1972;157.27195225916302;73000;0;2.899;18.411;1.972;0.157;73;0
"A000005";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;3319.847148314862;17863;2232;176.86587528994377;366000;0;3.319;17.863;2.232;0.176;366;0
"A000006";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;1369.1388415091592;15439;657;149.82602169611664;45000;0;1.369;15.439;0.657;0.149;45;0
"A000007";"5875, 5604, 5589, 5597, 5600, 5598, 5588, 5594, 5587, 5602, 5585, 5595, 5593, 5599, 5596, 5603, 5601, 5876";18;2;"A130201, A130101";"A13PDR0995, A13PDR0992";2;9550.687277580071;19683;6446;167.70462633451953;1000;0;9.55;19.683;6.446;0.167;1;0
"A000008";"5876, 5875, 5599, 5600, 5602, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;1352.834322756714;13194;654;148.27703855339172;4000;0;1.352;13.194;0.654;0.148;4;0
"A000009";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994";1;1842.1457286432126;15140;1085;157.14602423883926;109000;0;1.842;15.14;1.085;0.157;109;0
"A000011";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5594, 5596, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;1576.9235729639217;16648;847;157.80135794465772;180000;0;1.576;16.648;0.847;0.157;180;0
"A000012";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;4146.65133237922;65876;3094;236.8295508757571;358000;0;4.146;65.876;3.094;0.236;358;0
"A000013";"5875, 5604, 5589, 5597, 5600, 5598, 5588, 5594, 5587, 5602, 5585, 5595, 5593, 5599, 5596, 5603, 5601, 5876";18;2;"A130201, A130101";"A13PDR0995, A13PDR0992";2;1608.569395017791;5045;920;188.61209964412816;3000;0;1.608;5.045;0.92;0.188;3;0
"A000014";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;16681.382988145193;103293;4397;63138.23409183729;186899000;0;16.681;103.293;4.397;63.138;186899;0
