"ITEM";"Unique concatenate*(OPERATION)";"Unique count*(OPERATION)";"Unique count*(SFC)";"Unique concatenate*(WORK_CENTER)";"Unique count*(WORK_CENTER)";"Unique concatenate*(RESRCE)";"Unique count*(RESRCE)";"BOM_BO";"Unique concatenate(ITEM_ID)";"Unique count(ITEM_ID)"
"32906968";"I050100";"1";"1437";"I05";"1";"5723";"1";"BOMBO:0001,80001346-1-1,U,A";"32906968, 32214702, 04402005";3
"32906968";"I050100";"1";"1437";"I05";"1";"5723";"1";"BOMBO:0001,80001360-1-1,U,A";"32906968, 32214702, 04402005";3
"32906968";"I050100";"1";"1437";"I05";"1";"5723";"1";"BOMBO:0001,80001424-1-1,U,A";"32906968, 32214702";2
"32906968";"I050100";"1";"1437";"I05";"1";"5723";"1";"BOMBO:0001,80001548-1-1,U,A";"32906968, 32214702, 04402005";3
"32906968";"I050100";"1";"1437";"I05";"1";"5723";"1";"BOMBO:0001,80001549-1-1,U,A";"32906968, 32214702, 04402005";3
"32906968";"I050100";"1";"1437";"I05";"1";"5723";"1";"BOMBO:0001,80001551-1-1,U,A";"32906968, 32214702, 04402005";3
"32906968";"I050100";"1";"1437";"I05";"1";"5723";"1";"BOMBO:0001,80001552-1-1,U,A";"32906968, 32214702, 04402005";3
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80000135-1-1,U,A-1";"72107426, 72319505, 32319882, 72446798, 32447184, 72319584, 32447119, 72107425, 32446644, 72319357, 05030096, ZWH_GOT_1VE_1LA";12
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80000230-1-1,U,A-2";"72107426, 72214410, 72447065, 32446812, 32446774, 72319584, 32447119, 72214409, 72319356, 32446644, 05030096, 32319992, V2447725, ZWH_GOT_1VE_1LA";14
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80000230-1-1,U,A-4";"72107426, 72214410, 72447065, 32446812, 32446774, 72319584, 32447119, 72214409, 72319356, 32447761, 05030096, 32319992, V2447725";13
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80000971-1-1,U,A";"72107426, 00266033, 72214423, 72446798, 32446832, 32446835, 72107425, 72320233, 72319357, 32447119, 32447139, 32446644, V2446815, V2447073, V2447140, V2319677, 32447868, 05030096, V2446521, V2445496, V2445497, V2446659, V2445601, V2447138, V2447896";25
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80001185-1-1,U,A";"72107426, 00266033, 72214423, 72446798, 32446832, 32446836, 72107425, 72320233, 72319357, 32445918, 32446209, V2446815, V2447073, V2446278, V2319677, 05030096, V2446521, V2445496, V2445497, V2446659, V2445601";21
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80001185-1-1,U,A-1";"72107426, 32446832, 72107425, 72319357, 72906515, 05030096, V2446521, V2445496, V2445497, V2446659, V2445601";11
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80001273-1-1,U,A";"72107426, 00266033, 72214423, 72446798, 32446832, 32447458, 72107425, 72320233, 72319357, 32445918, 32446209, V2446815, V2447073, V2446278, V2319677, 05030096, V2446521, V2445496, V2445497, V2446659, V2445601";21
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80001273-1-1,U,A-1";"72107426, 32446832, 72107425, 72319357, 72906926, 05030096, V2446521, V2445496, V2445497, V2446659, V2445601";11
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,80001409-1-1,U,A";"72107426, 00266033, 72214423, 32448111, 72446798, 32214701, 72447078, 32320345, 32446835, 32448110, 72320233, 32320353, 32447119, 03109658, 32447139, 03576134, 72107425, 72319357, V2446815, V2447073, V2447140, 32447868, V2319893, 32447761, 05030096, V2446521, V2445496, V2445497, V2446659, V2445601, V2447713, V2447677, V2447896";33
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,82501800-1-1,U,A";"72107426, 72214420, 32447268, 32447428, 72319584, 72214409, 32447119, 72319356, 32446644, 05030096, ZWH_GOT_0VE_1LA";11
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,82502760-1-1,U,A-3";"72107426, 72214410, 72447065, 32446812, 32446774, 72214409, 72319356, 72319584, 32447119, 32446644, 05030096, V2447725, ZWH_GOT_0VE_1LA";13
"72107426";"A091600, A093500, A09N030, A091700, A091800, A091900, A092000, A092100, A092200, A092300, A092400, A092500, A092600, A092700, A092900, A093400, A09N020";"17";;"A090202, A09010201, A09010202, A09010203, A09010204, A09010206, A09010207, A09010208, A09010209, A09010211, A09010214, A0901";"12";"2382, 7408, 6970, 6836, 6986, 6987, 6837, 6997, 6998, 6999, 7004, 7005, 6838, 6839, 6383, 7017, 6384, 6385, 6388, 6387, 6386, 6390, 6391, 6389, 6393, 6394, 6392, 6975, 6976, 7055";"30";"BOMBO:0001,82502760-1-1,U,A-4";"72107426, 72214410, 72447065, 32446812, 32446774, 72214409, 72319356, 72319584, 32447119, 32446644, 05030096";11
