"SFC";"OPERATION";"Unique concatenate(DESCRIPTION)";"Unique concatenate(ITEM_GROUP)";"Unique count(DESCRIPTION)";"ITEM_NO";"QTY";"ROUTER";"STEP_ID";"RESRCE";"WORK_CENTER";"QTY_STARTED";"QTY_COMPLETED";"QTY_DONE";"QTY_SCRAPPED";"QTY_NON_CONFORMED";"ELAPSED_TIME";"ELAPSED_QUEUE_TIME";"PREVIOUS_RESOURCE_BO";"SFC_DONE";"SHOP_ORDER_BO";"DATE_TIME";"ITEM_DESCRIPTION";"ITEM_TYPE";"OPERATION_DESCRIPTION";"TYPE";"SPECIAL_INSTRUCTION";"RESOURCE_DESCRIPTION";"SETUP_STATE";"SETUP_DESCRIPTION";"WORKCENTER_DESCRIPTION";"WC_CATEGORY";"WC_TYPE";"SHOP_ORDER";"QTY_ORDERED";"QTY_RELEASED";"QTY_DONE_SO";"CUSTOMER";"TRANSFER_SITE";"PROCESSING_TIME_SECS";"WAITING_TIME_SECS";"DESCRIPTION"
"0845422564";"A011600";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";10;"3625";"A010205";1;1;0;0;0;6176;27000;"";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:17:15";"BK V2 T A250 DN25 unr";"M";"Stutzen befetten";"N";"";"Station 3.03 Fetten";"O";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";6.176;27;"Monti2 nicht Ve"
"0845422564";"A011800";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";20;"3627";"A010205";1;1;0;0;0;5424;47000;"ResourceBO:0001,3625";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:18:07";"BK V2 T A250 DN25 unr";"M";"Aussenmagnet montieren";"N";"";"Station 3.05 Aussenmagnet einsetzen";"S";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";5.424;47;"Monti2 nicht Ve"
"0845422564";"A011900";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";30;"3628";"A010205";1;1;0;0;0;8467;24000;"ResourceBO:0001,3627";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:18:39";"BK V2 T A250 DN25 unr";"M";"Messwerk einsetzen";"N";"";"Station 3.06 Messwerk einsetzen";"O";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";8.467;24;"Monti2 nicht Ve"
"0845422564";"A012000";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";40;"3629";"A010205";1;1;0;0;0;9465;11000;"ResourceBO:0001,3628";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:18:59";"BK V2 T A250 DN25 unr";"M";"Oberteil dosieren";"N";"";"Station 3.07 Dosieren Oberteil";"S";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";9.465;11;"Monti2 nicht Ve"
"0845422564";"A012200";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";50;"3630";"A010205";1;1;0;0;0;3645;4000;"ResourceBO:0001,3629";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:19:06";"BK V2 T A250 DN25 unr";"M";"Unterteil aufsetzen";"N";"";"Station 3.08 Unterteil aufsetzen";"O";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";3.645;4;"Monti2 nicht Ve"
"0845422564";"A012300";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";60;"3631";"A010206";1;1;0;0;0;14752;11000;"ResourceBO:0001,3630";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:19:31";"BK V2 T A250 DN25 unr";"M";"Falz auflegen";"N";"";"Station 3.09 Falz auflegen";"O";"";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";14.752;11;"Monti2 nicht Ve"
"0845422564";"A012500";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";70;"3632";"A010206";1;1;0;0;0;9382;8000;"ResourceBO:0001,3631";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:19:48";"BK V2 T A250 DN25 unr";"M";"Zähler vorbördeln";"N";"";"Station 3.10 Vorbördeln Nr. 1";"S";" ";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";9.382;8;"Monti2 nicht Ve"
"0845422564";"A012600";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";80;"3863";"A010206";1;1;0;0;0;10441;4000;"ResourceBO:0001,3632";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:20:02";"BK V2 T A250 DN25 unr";"M";"Zähler fertigbördeln";"N";"";"Station 3.10 Fertigbördeln Nr. 1";"S";" ";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";10.441;4;"Monti2 nicht Ve"
"0845422564";"A012800";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";90;"3944";"A010207";1;1;0;0;0;19642;42000;"ResourceBO:0001,3863";"false";"ShopOrderBO:0001,60358202";"02.01.20 21:21:03";"BK V2 T A250 DN25 unr";"M";"Zähler dichtheitsprüfen";"N";"";"Prüfkammer 10";"O";"";"Monti 2 - Heliumprüfung";"LEVEL1";"ASSEMBLY";"60358202";0;40218;38699;"";"";19.642;42;"Monti2 nicht Ve"
"0845422564";"A013500";"Rüstintervall Stutzen DN25, BK 4 V2 TC";"A01PP000500, A00PP000600";2;"82512810";1;"A01PDR0023";120;"7279";"A0102";1;1;1;0;0;4;69489;"ResourceBO:0001,3944";"true";"ShopOrderBO:0001,60358202";"02.01.20 21:22:12";"BK V2 T A250 DN25 unr";"M";"Zähler abstapeln";"N";"";"0030 Station 5.04 Wagen 3 BWM ZONE";"O";"";"Monti 2";"LEVEL3";"ASSEMBLY";"60358202";0;40218;38699;"";"";0.004;69.489;"Monti2 nicht Ve"
