"SFC";"OPERATION";"Unique concatenate(DESCRIPTION)";"Unique concatenate(ITEM_GROUP)";"Unique count(DESCRIPTION)";"ITEM_NO";"QTY";"ROUTER";"STEP_ID";"RESRCE";"WORK_CENTER";"QTY_STARTED";"QTY_COMPLETED";"QTY_DONE";"QTY_SCRAPPED";"QTY_NON_CONFORMED";"ELAPSED_TIME";"ELAPSED_QUEUE_TIME";"PREVIOUS_RESOURCE_BO";"SFC_DONE";"SHOP_ORDER_BO";"DATE_TIME";"ITEM_DESCRIPTION";"ITEM_TYPE";"OPERATION_DESCRIPTION";"TYPE";"SPECIAL_INSTRUCTION";"RESOURCE_DESCRIPTION";"SETUP_STATE";"SETUP_DESCRIPTION";"WORKCENTER_DESCRIPTION";"WC_CATEGORY";"WC_TYPE";"SHOP_ORDER";"QTY_ORDERED";"QTY_RELEASED";"QTY_DONE_SO";"CUSTOMER";"TRANSFER_SITE";"PROCESSING_TIME_SECS";"WAITING_TIME_SECS";"DESCRIPTION"
"0846494182";"A011600";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";10;"3625";"A010205";1;1;0;0;0;6533;12000;"";"false";"ShopOrderBO:0001,60357120";"18.01.20 06:48:13";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Stutzen befetten";"N";"";"Station 3.03 Fetten";"O";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";6.533;12;"Monti2 nicht Ve"
"0846494182";"A011800";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";20;"3627";"A010205";1;1;0;0;0;5875;7000;"ResourceBO:0001,3625";"false";"ShopOrderBO:0001,60357120";"18.01.20 06:48:25";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Aussenmagnet montieren";"N";"";"Station 3.05 Aussenmagnet einsetzen";"S";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";5.875;7;"Monti2 nicht Ve"
"0846494182";"A011900";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";30;"3628";"A010205";1;1;0;0;0;3047907;8000;"ResourceBO:0001,3627";"false";"ShopOrderBO:0001,60357120";"18.01.20 07:39:20";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Messwerk einsetzen";"N";"";"Station 3.06 Messwerk einsetzen";"O";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";3047.907;8;"Monti2 nicht Ve"
"0846494182";"A012000";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";40;"3629";"A010205";1;1;0;0;0;10368;11000;"ResourceBO:0001,3628";"false";"ShopOrderBO:0001,60357120";"18.01.20 07:39:41";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Oberteil dosieren";"N";"";"Station 3.07 Dosieren Oberteil";"S";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";10.368;11;"Monti2 nicht Ve"
"0846494182";"A012200";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";50;"3630";"A010205";1;1;0;0;0;4252;4000;"ResourceBO:0001,3629";"false";"ShopOrderBO:0001,60357120";"18.01.20 07:39:49";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Unterteil aufsetzen";"N";"";"Station 3.08 Unterteil aufsetzen";"O";"";"Zähler montieren";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";4.252;4;"Monti2 nicht Ve"
"0846494182";"A012300";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";60;"3631";"A010206";1;1;0;0;0;11441;441000;"ResourceBO:0001,3630";"false";"ShopOrderBO:0001,60357120";"18.01.20 07:47:21";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Falz auflegen";"N";"";"Station 3.09 Falz auflegen";"O";"";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";11.441;441;"Monti2 nicht Ve"
"0846494182";"A012500";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";70;"3632";"A010206";1;1;0;0;0;9528;8000;"ResourceBO:0001,3631";"false";"ShopOrderBO:0001,60357120";"18.01.20 07:47:38";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Zähler vorbördeln";"N";"";"Station 3.10 Vorbördeln Nr. 1";"S";" ";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";9.528;8;"Monti2 nicht Ve"
"0846494182";"A012600";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";80;"3863";"A010206";1;1;0;0;0;11088;4000;"ResourceBO:0001,3632";"false";"ShopOrderBO:0001,60357120";"18.01.20 07:47:53";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Zähler fertigbördeln";"N";"";"Station 3.10 Fertigbördeln Nr. 1";"S";" ";"Zähler verschließen";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";11.088;4;"Monti2 nicht Ve"
"0846494182";"A012800";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";90;"3944";"A010207";1;1;0;0;0;19050;4729000;"ResourceBO:0001,3863";"false";"ShopOrderBO:0001,60357120";"18.01.20 09:07:01";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Zähler dichtheitsprüfen";"N";"";"Prüfkammer 10";"O";"";"Monti 2 - Heliumprüfung";"LEVEL1";"ASSEMBLY";"60357120";0;65829;64151;"";"";19.05;4729;"Monti2 nicht Ve"
"0846494182";"A013500";"Rüstintervall Stutzen GM3/4, Aufträge Monti2";"A01PP000300, A01PP000100";2;"80000987";1;"A01PDR0023";120;"7280";"A0102";1;1;1;0;0;4;55589;"ResourceBO:0001,3944";"true";"ShopOrderBO:0001,60357120";"18.01.20 09:07:56";"BK V2 EI A220 DN20-GM3/4 o.RS unr";"M";"Zähler abstapeln";"N";"";"0040 Station 5.04 Wagen 4 BWM ZONE";"O";"";"Monti 2";"LEVEL3";"ASSEMBLY";"60357120";0;65829;64151;"";"";0.004;55.589;"Monti2 nicht Ve"
