Operation;Resources
A000002;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000004;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000005;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000006;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000007;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000008;['5876', '5875', '5599', '5600', '5602', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000009;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000011;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5594', '5596', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000012;['5876', '5875', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5597', '5595', '5598', '5593', '5585', '5588', '5587', '5589']
A000013;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000014;['5875', '5876', '5599', '5602', '5600', '5603', '5601', '5604', '5596', '5594', '5593', '5597', '5595', '5598', '5585', '5588', '5587', '5589']
A000015;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
A000016;['5875', '5604', '5589', '5597', '5600', '5598', '5588', '5594', '5587', '5602', '5585', '5595', '5593', '5599', '5596', '5603', '5601', '5876']
