"STATUS_DESCRIPTION";"HANDLE";"ROUTER";"ROUTER_TYPE";"DESCRIPTION";"TEMPORARY_ROUTER";"CREATED_DATE_TIME";"MODIFIED_DATE_TIME"
"Releasable";"RouterBO:0001,002532655256,S,~1A-4";"002532655256";"S";"EMI 4.1 reparieren";1;"2017-05-11T11:11:14";"2017-05-11T11:11:14"
"Releasable";"RouterBO:0001,002535482240,S,~A-3";"002535482240";"S";"EMI Vormont (Mont & Para & Dicht & Batt)";1;"2017-03-16T14:25:53";"2017-03-16T14:25:53"
"Releasable";"RouterBO:0001,002535584758,S,~A-3";"002535584758";"S";"EMI Vormont (Mont & Para & Dicht & Batt)";1;"2017-03-23T08:22:51";"2017-03-23T08:22:51"
"Releasable";"RouterBO:0001,002535617705,S,~A-2";"002535617705";"S";"EI Gaszählerproduktion";1;"2017-07-06T12:21:29";"2017-07-06T12:21:29"
"Releasable";"RouterBO:0001,002535631178,S,~1A";"002535631178";"S";"EMI 5.2 Standard";1;"2017-04-11T12:01:08";"2017-04-11T12:01:08"
"Releasable";"RouterBO:0001,002535655733,S,~A-3";"002535655733";"S";"EMI Vormont (Mont & Para & Dicht & Batt)";1;"2017-04-04T14:17:57";"2017-04-04T14:17:57"
"Releasable";"RouterBO:0001,002535889033,S,~A";"002535889033";"S";"EMI 4.2 NC-Routing ab Transportsystem";1;"2017-05-16T09:44:43";"2017-05-16T09:44:43"
"Releasable";"RouterBO:0001,002535889090,S,~1A";"002535889090";"S";"EMI 4.2 NC-Routing bis Transportsystem";1;"2017-05-15T09:43:32";"2017-05-15T09:43:32"
"Releasable";"RouterBO:0001,002536467362,S,~A-7";"002536467362";"S";"EMI 4.2 Endmontage - Standardrouting";1;"2017-10-10T09:43:05";"2017-10-10T09:43:05"
"Releasable";"RouterBO:0001,002536468669,S,~A-7";"002536468669";"S";"EMI 4.2 Endmontage - Standardrouting";1;"2017-10-10T09:54:45";"2017-10-10T09:54:45"
"Releasable";"RouterBO:0001,002536468756,S,~A-2";"002536468756";"S";"EMI 4.2 NC-Routing ab Transportsystem";1;"2017-10-10T11:31:35";"2017-10-10T11:31:35"
"Releasable";"RouterBO:0001,002537823623,S,~A-6";"002537823623";"S";"EMI reparieren - Automation";1;"2018-07-18T13:56:53";"2018-07-18T13:56:53"
"Releasable";"RouterBO:0001,002538136733,S,~A-3";"002538136733";"S";"EMI 4.2 Kamera NIO";1;"2018-09-25T08:06:25";"2018-09-25T08:06:25"
"Releasable";"RouterBO:0001,3500000030111297,S,~1A-1";"3500000030111297";"S";"MeFi3-Karree 2";1;"2018-01-29T15:15:25";"2018-01-29T15:15:25"
"Releasable";"RouterBO:0001,3500000260311297,S,~1A-2";"3500000260311297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-25T10:22:07";"2018-01-25T10:22:07"
"Releasable";"RouterBO:0001,3500000265611297,S,~A-2";"3500000265611297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:39:48";"2018-01-24T09:39:48"
"Releasable";"RouterBO:0001,3500000266711297,S,~A-2";"3500000266711297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:41:29";"2018-01-24T09:41:29"
"Releasable";"RouterBO:0001,3500000267611297,S,~A-2";"3500000267611297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:43:08";"2018-01-24T09:43:08"
"Releasable";"RouterBO:0001,3500000269111297,S,~A-2";"3500000269111297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:39:19";"2018-01-24T09:39:19"
"Releasable";"RouterBO:0001,3500000269311297,S,~A-2";"3500000269311297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:43:32";"2018-01-24T09:43:32"
"Releasable";"RouterBO:0001,3500000270111297,S,~A-2";"3500000270111297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:45:04";"2018-01-24T09:45:04"
"Releasable";"RouterBO:0001,3500000270611297,S,~A-2";"3500000270611297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:44:35";"2018-01-24T09:44:35"
"Releasable";"RouterBO:0001,3500000270711297,S,~A-2";"3500000270711297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:44:07";"2018-01-24T09:44:07"
"Releasable";"RouterBO:0001,3500000272711297,S,~A-2";"3500000272711297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:42:08";"2018-01-24T09:42:08"
"Releasable";"RouterBO:0001,3500000273411297,S,~A-2";"3500000273411297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:40:47";"2018-01-24T09:40:47"
"Releasable";"RouterBO:0001,3500000280411297,S,~A-2";"3500000280411297";"S";"MeFi3-Karree 2 (für Inbetrienahme)";1;"2018-01-24T09:05:44";"2018-01-24T09:05:44"
"Releasable";"RouterBO:0001,A00NCR0001,N,A";"A00NCR0001";"N";"NC Routing";0;"2018-02-22T08:53:01";"2018-02-22T08:53:06"
"Releasable";"RouterBO:0001,A00NCR0002,N,A-1";"A00NCR0002";"N";"Put SFC on hold";0;"2018-09-12T09:12:45";"2018-09-12T09:12:45"
"Releasable";"RouterBO:0001,A00PDR0001,U,A-11";"A00PDR0001";"U";"EI Gaszählerproduktion";0;"2019-10-28T15:06:22";"2019-11-18T10:33:14"
"Releasable";"RouterBO:0001,A00SPR0001,C,A";"A00SPR0001";"C";"Heliumprüfung Vergleich A01-A07";0;"2018-01-10T08:36:40";"2018-01-10T09:39:56"
"Releasable";"RouterBO:0001,A01NCR0000,N,A-2";"A01NCR0000";"N";"verschrotten";0;"2020-01-15T06:56:06";"2020-01-15T06:57:04"
"Releasable";"RouterBO:0001,A01NCR0001,N,A-3";"A01NCR0001";"N";"Verschrotten (Knackplatz)";0;"2014-10-23T10:55:56";"2020-01-15T06:58:01"
"Releasable";"RouterBO:0001,A01NCR0002,N,A-1";"A01NCR0002";"N";"Ventilmontage zurück zu A011350";0;"2012-09-25T15:37:37";"2015-01-19T06:48:33"
"Releasable";"RouterBO:0001,A01NCR0004,N,A-1";"A01NCR0004";"N";"Zurück zu Dichtheitsprüfung";0;"2014-10-23T10:59:09";"2014-10-23T11:00:01"
"Releasable";"RouterBO:0001,A01NCR0005,N,A-2";"A01NCR0005";"N";"Verbau Fa. SECURE (Reparatur)";0;"2018-03-21T08:59:46";"2018-03-21T09:12:44"
"Releasable";"RouterBO:0001,A01NCR0006,N,A-1";"A01NCR0006";"N";"Messwerksverbau wiederholen";0;"2018-12-19T06:00:57";"2018-12-19T06:01:47"
