"RESRCE";"Mean(ELAPSED_TIME)";"Max*(ELAPSED_TIME)";"Min*(ELAPSED_TIME)";"Mean(ELAPSED_QUEUE_TIME)";"Max*(ELAPSED_QUEUE_TIME)";"Min*(ELAPSED_QUEUE_TIME)";"PROCESSING_TIME_SECS";"WAITING_TIME_SECS";"MAX_PROCESSING_TIME_SECS";"MIN_PROCESSING_TIME_SECS";"MAX_WAITING_TIME_SECS";"MIN_WAITING_TIME_SECS"
"";0;0;0;0;0;0;"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"104";8443.009939105192;97585;2;42757.622339563866;6009186;0;"8.443";"42.757";"97.585";"0.002";"6009.186";"0.0"
"105";8305.452014757351;436826;2;50987.1220193892;6022186;0;"8.305";"50.987";"436.826";"0.002";"6022.186";"0.0"
"108";4.097801378681609;3023;2;845.5913792360119;10584;145;"0.004";"0.845";"3.023";"0.002";"10.584";"0.145"
"1479";1642.8547225334485;7653;0;337.73717325189807;8000;0;"1.642";"0.337";"7.653";"0.0";"8.0";"0.0"
"1489";3.7833961706216734;47;2;829.7873389024408;5447;146;"0.003";"0.829";"0.047";"0.002";"5.447";"0.146"
"1614";3.776805844739823;45;2;832.6323752263877;8074;168;"0.003";"0.832";"0.045";"0.002";"8.074";"0.168"
"2095";483.7312418687568;7057;2;581.0946400054314;9547;0;"0.483";"0.581";"7.057";"0.002";"9.547";"0.0"
"238";130193.841253531;1224063762;0;717385.1357136737;8378283000;0;"130.193";"717.385";"1224063.762";"0.0";"2147483.647";"0.0"
"2382";3.957690897271462;67;0;580509.7272765244;1193836161;0;"0.003";"580.509";"0.067";"0.0";"1193836.161";"0.0"
"2384";104517.35173261096;1193021645;33188;291.2490042485396;12000;0;"104.517";"0.291";"1193021.645";"33.188";"12.0";"0.0"
"3614";16853.04388714734;2028764;0;762731.9749216302;53764000;0;"16.853";"762.731";"2028.764";"0.0";"53764.0";"0.0"
"3619";22362.623254179933;187030764;4304;934.7056343965047;12000;0;"22.362";"0.934";"187030.764";"4.304";"12.0";"0.0"
"3620";3862.2207212911953;16872;3181;9123.95345237603;7765000;3000;"3.862";"9.123";"16.872";"3.181";"7765.0";"3.0"
"3625";6062.495156395962;418222;4934;59452.58520074642;25156000;10000;"6.062";"59.452";"418.222";"4.934";"25156.0";"10.0"
"3627";6036.338328420942;1788521;4202;34243.061837919224;8318000;6000;"6.036";"34.243";"1788.521";"4.202";"8318.0";"6.0"
