"SHOP_ORDER_BO";"Unique count*(ITEM)";"Unique concatenate*(ITEM)"
"ShopOrderBO:0001,072906096";1;"72906096"
"ShopOrderBO:0001,072906097";1;"72906097"
"ShopOrderBO:0001,072906100";1;"72906100"
"ShopOrderBO:0001,072906102";1;"72906102"
"ShopOrderBO:0001,072906187";1;"72906187"
"ShopOrderBO:0001,072906638";1;"72906638"
"ShopOrderBO:0001,072906682";1;"72906682"
"ShopOrderBO:0001,1000329842-000020";1;"80001408"
"ShopOrderBO:0001,1000362565-000011";1;"80001160"
"ShopOrderBO:0001,1000362565-000020";1;"80001163"
"ShopOrderBO:0001,1000366131-000010";1;"80001395"
"ShopOrderBO:0001,1000370287-000010";1;"80001393"
"ShopOrderBO:0001,1000372040-000010";1;"80001360"
"ShopOrderBO:0001,172906126";1;"72906126"
"ShopOrderBO:0001,1887969-10";1;"80001609"
"ShopOrderBO:0001,1887969-51";1;"80001610"
"ShopOrderBO:0001,1892759-10";1;"80000942"
"ShopOrderBO:0001,1892759-11";1;"82562101"
"ShopOrderBO:0001,1892759-30";1;"80000942"
"ShopOrderBO:0001,1892759-50";1;"80000942"
"ShopOrderBO:0001,1892942-10";1;"82502311"
"ShopOrderBO:0001,1892988-10";1;"82502311"
"ShopOrderBO:0001,1893626-10";1;"82502312"
"ShopOrderBO:0001,1893626-20";1;"82508312"
"ShopOrderBO:0001,1894394-10";1;"82502301"
"ShopOrderBO:0001,1895714-10";1;"82507302"
"ShopOrderBO:0001,1895714-20";1;"82501302"
"ShopOrderBO:0001,1896064-10";1;"82518481"
"ShopOrderBO:0001,1896637-20";1;"82502301"
"ShopOrderBO:0001,1896681-10";1;"80001276"
"ShopOrderBO:0001,1896681-30";1;"80001276"
"ShopOrderBO:0001,1896681-50";1;"80001276"
"ShopOrderBO:0001,1896681-70";1;"80001276"
"ShopOrderBO:0001,1897865-30";1;"80000317"
"ShopOrderBO:0001,1898854-20";1;"82507301"
"ShopOrderBO:0001,1899845-10";1;"82502161"
"ShopOrderBO:0001,1900599-10";1;"80001276"
"ShopOrderBO:0001,1900901-10";1;"80000252"
"ShopOrderBO:0001,1900901-30";1;"80000731"
"ShopOrderBO:0001,1901069-10";1;"82508311"
"ShopOrderBO:0001,1901334-10";1;"82568311"
"ShopOrderBO:0001,1901787-10";1;"80000719"
"ShopOrderBO:0001,1901787-20";1;"80000768"
"ShopOrderBO:0001,1902301-10";1;"82502211"
"ShopOrderBO:0001,1902301-20";1;"82502211"
"ShopOrderBO:0001,1902301-30";1;"82502211"
"ShopOrderBO:0001,1903127-10";1;"82568311"
"ShopOrderBO:0001,1903336-10";1;"82501302"
"ShopOrderBO:0001,1903336-20";1;"82501302"
"ShopOrderBO:0001,1903339-30";1;"82507301"
"ShopOrderBO:0001,1903577-10";1;"80001566"
"ShopOrderBO:0001,1903583-10";1;"80001566"
